order_id,region,product,units,unit_price,status
A0001,east,cover,7,12.50,paid
A0002,central,mat,6,3.10,paid
A0003,central,cover,1,12.50,paid
A0004,west,mat,4,12.50,paid
A0005,west,mat,2,19.99,refunded
A0006,central,mat,7,12.50,paid
A0007,north,cover,5,49.00,paid
A0008,central,mat,5,3.10,pending
A0009,south,mat,4,7.25,paid
A0010,central,mat,1,3.10,paid
A0011,west,tray,6,49.00,paid
A0012,west,hook,5,19.99,pending
A0013,south,cover,2,3.10,paid
A0014,central,tray,6,49.00,paid
A0015,central,mat,2,3.10,paid
A0016,south,hook,3,49.00,paid
A0017,north,mat,9,3.10,pending
A0018,east,hook,6,3.10,paid
A0019,central,tray,2,12.50,paid
A0020,west,mat,1,7.25,refunded
A0021,central,tray,5,49.00,refunded
A0022,east,mat,8,7.25,paid
A0023,central,mat,8,12.50,paid
A0024,east,cover,4,49.00,paid
A0025,west,mat,3,49.00,paid
A0026,central,hook,3,49.00,pending
A0027,central,hook,7,7.25,refunded
A0028,west,cover,3,12.50,paid
A0029,south,cover,4,12.50,paid
A0030,central,cover,5,7.25,paid
A0031,south,tray,9,7.25,paid
A0032,central,hook,3,3.10,paid
A0033,north,tray,9,49.00,paid
A0034,west,tray,2,49.00,refunded
A0035,west,mat,4,12.50,paid
A0036,west,cover,2,7.25,paid
A0037,north,mat,1,3.10,paid
A0038,central,mat,6,3.10,paid
A0039,north,cover,7,19.99,refunded
A0040,east,hook,6,49.00,paid
A0041,north,tray,8,49.00,paid
A0042,east,mat,3,12.50,refunded
A0043,east,hook,8,19.99,paid
A0044,north,cover,9,7.25,paid
A0045,central,mat,9,7.25,refunded
A0046,north,hook,9,7.25,paid
A0047,east,cover,9,3.10,pending
A0048,central,hook,4,3.10,pending
A0049,south,cover,7,19.99,paid
A0050,central,tray,6,12.50,paid
A0051,east,tray,5,19.99,refunded
A0052,central,hook,8,7.25,paid
A0053,north,cover,2,19.99,paid
A0054,south,hook,4,49.00,paid
A0055,central,mat,8,7.25,pending
A0056,north,mat,7,19.99,paid
A0057,south,tray,6,12.50,pending
A0058,west,tray,7,12.50,refunded
A0059,south,cover,3,12.50,paid
A0060,central,tray,3,3.10,pending
A0061,central,tray,6,19.99,paid
A0062,central,cover,1,12.50,pending
A0063,north,cover,7,19.99,pending
A0064,south,mat,5,19.99,paid
A0065,central,cover,6,7.25,paid
A0066,west,cover,1,7.25,paid
A0067,central,tray,9,19.99,paid
A0068,south,mat,8,19.99,paid
A0069,north,cover,3,19.99,paid
A0070,central,mat,9,12.50,paid
A0071,central,tray,2,3.10,paid
A0072,south,cover,5,12.50,pending
A0073,north,tray,9,12.50,pending
A0074,north,tray,6,3.10,paid
A0075,central,cover,5,49.00,paid
A0076,central,tray,9,19.99,refunded
A0077,central,hook,9,19.99,pending
A0078,west,cover,7,12.50,paid
A0079,west,hook,2,19.99,paid
A0080,north,cover,5,12.50,pending
A0081,south,hook,3,7.25,paid
A0082,west,cover,2,49.00,paid
A0083,south,cover,3,49.00,paid
A0084,west,hook,7,19.99,paid
A0085,east,mat,6,12.50,paid
A0086,central,tray,8,12.50,paid
A0087,east,hook,9,12.50,paid
A0088,south,mat,2,7.25,paid
A0089,north,cover,5,19.99,pending
A0090,west,hook,7,19.99,paid
A0091,central,tray,6,12.50,paid
A0092,north,cover,7,12.50,paid
A0093,north,mat,5,12.50,paid
A0094,south,mat,5,12.50,paid
A0095,north,hook,9,49.00,paid
A0096,central,cover,1,3.10,refunded
A0097,south,mat,3,7.25,paid
A0098,south,cover,5,7.25,paid
A0099,south,hook,8,3.10,refunded
A0100,south,hook,6,12.50,paid
A0101,north,mat,1,3.10,paid
A0102,south,tray,4,49.00,paid
A0103,west,tray,9,49.00,paid
A0104,east,cover,4,7.25,paid
A0105,south,tray,6,12.50,pending
A0106,south,mat,2,7.25,paid
A0107,south,mat,2,49.00,pending
A0108,central,hook,4,7.25,paid
A0109,west,cover,3,7.25,paid
A0110,north,hook,6,7.25,paid
A0111,east,cover,1,7.25,paid
A0112,east,cover,1,7.25,paid
A0113,north,tray,5,3.10,refunded
A0114,south,cover,9,12.50,paid
A0115,east,mat,3,49.00,paid
A0116,north,tray,1,7.25,paid
A0117,south,mat,9,19.99,refunded
A0118,central,tray,6,49.00,paid
A0119,east,cover,1,3.10,refunded
A0120,west,cover,9,3.10,paid
